trainability,stranger_directed_aggression,owner_directed_aggression,dog_directed_aggression,stranger_directed_fear,nonsocial_fear,dog_directed_fear,touch_sensitivity,separation_related,excitability,attachment,chasing,energy,cluster_gmm,gmm_max_proba
1.75,0.3333333333333333,0.0,1.0,0.5,1.5,1.5,0.0,0.625,3.3333333333333335,3.8333333333333335,4.0,2.0,1,0.9997337574568229
1.25,0.1666666666666666,0.3333333333333333,1.3333333333333333,0.75,0.8333333333333334,0.0,0.6666666666666666,0.25,2.1666666666666665,3.0,2.0,2.0,3,0.9776460691221366
2.375,0.0,1.1666666666666667,1.6666666666666667,0.0,1.8333333333333333,1.0,1.6666666666666667,1.0,1.8333333333333333,1.6666666666666667,1.0,0.0,4,0.9638658579472398
0.875,0.0,0.0,1.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.25,3.3333333333333335,2.6666666666666665,4.0,1.6666666666666667,2,0.9999994980077868
0.5,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,1.3333333333333333,2.6666666666666665,3.0,0.6666666666666666,2,0.9999998776947664
1.125,0.3333333333333333,0.5,3.3333333333333335,1.25,1.0,3.5,3.0,0.5,2.6666666666666665,2.0,3.0,0.6666666666666666,5,0.8882250117787336
1.375,0.1666666666666666,0.0,2.6666666666666665,0.0,0.1666666666666666,0.0,0.0,0.5,1.3333333333333333,2.6666666666666665,0.0,1.6666666666666667,4,0.7748522056553364
1.125,0.3333333333333333,0.1666666666666666,1.0,1.25,2.3333333333333335,1.5,1.0,1.5,3.5,3.1666666666666665,3.0,3.0,5,0.9371287181483295
1.125,0.0,0.0,1.3333333333333333,0.75,0.6666666666666666,1.0,1.3333333333333333,0.625,2.6666666666666665,1.1666666666666667,1.0,3.3333333333333335,1,0.9999918897859641
1.0,0.0,0.1666666666666666,1.6666666666666667,0.0,0.0,0.0,1.0,0.375,3.0,2.3333333333333335,4.0,3.6666666666666665,4,0.9999519010017669
1.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.125,2.0,3.1666666666666665,4.0,2.3333333333333335,2,0.9999992661025809
1.75,0.5,0.3333333333333333,3.3333333333333335,1.75,0.3333333333333333,4.0,1.6666666666666667,0.125,2.6666666666666665,2.6666666666666665,4.0,1.0,5,0.9917653446119096
1.25,0.0,0.0,0.0,0.5,1.5,2.0,0.6666666666666666,0.0,1.0,3.5,0.0,1.3333333333333333,1,0.9999818707228568
1.5,0.1666666666666666,0.1666666666666666,0.0,0.5,1.5,1.0,1.3333333333333333,0.5,1.8333333333333333,2.8333333333333335,1.3333333333333333,2.3333333333333335,0,0.6014176208626256
0.75,0.1666666666666666,0.0,1.3333333333333333,0.75,1.8333333333333333,1.5,0.0,1.0,2.0,1.8333333333333333,3.5,1.3333333333333333,1,0.9998682728362607
2.0,0.0,0.1666666666666666,0.0,0.0,1.1666666666666667,0.0,0.0,0.25,2.0,2.6666666666666665,2.3333333333333335,3.0,4,0.999475360989458
